i	k	etaik
0	0	1.000000
0	1	0.000000
0	2	0.000000
1	0	1.000000
1	1	0.000000
1	2	0.000000
2	0	0.732294
2	1	0.000000
2	2	0.267706
3	0	1.000000
3	1	0.000000
3	2	0.000000
4	0	1.000000
4	1	0.000000
4	2	0.000000
5	0	1.000000
5	1	0.000000
5	2	0.000000
6	0	1.000000
6	1	0.000000
6	2	0.000000
7	0	1.000000
7	1	0.000000
7	2	0.000000
8	0	1.000000
8	1	0.000000
8	2	0.000000
9	0	1.000000
9	1	0.000000
9	2	0.000000
10	0	0.000000
10	1	0.491972
10	2	0.508028
11	0	0.000000
11	1	0.000000
11	2	1.000000
12	0	0.000000
12	1	0.000000
12	2	1.000000
13	0	1.000000
13	1	0.000000
13	2	0.000000
14	0	0.000000
14	1	0.491972
14	2	0.508028
15	0	0.000000
15	1	0.491972
15	2	0.508028
16	0	0.000000
16	1	0.491972
16	2	0.508028
17	0	0.000000
17	1	0.000000
17	2	1.000000
18	0	0.401064
18	1	0.000000
18	2	0.598936
19	0	0.000000
19	1	1.000000
19	2	0.000000
20	0	1.000000
20	1	0.000000
20	2	0.000000
21	0	1.000000
21	1	0.000000
21	2	0.000000
22	0	0.000000
22	1	0.000000
22	2	1.000000
23	0	0.356350
23	1	0.000000
23	2	0.643650
24	0	0.502057
24	1	0.497943
24	2	0.000000
25	0	0.000000
25	1	1.000000
25	2	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
27	0	1.000000
27	1	0.000000
27	2	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
29	0	0.502057
29	1	0.497943
29	2	0.000000
30	0	1.000000
30	1	0.000000
30	2	0.000000
31	0	0.721300
31	1	0.000000
31	2	0.278700
32	0	0.342066
32	1	0.000000
32	2	0.657934
33	0	1.000000
33	1	0.000000
33	2	0.000000
34	0	0.644382
34	1	0.000000
34	2	0.355618
35	0	1.000000
35	1	0.000000
35	2	0.000000
36	0	0.478874
36	1	0.000000
36	2	0.521126
37	0	1.000000
37	1	0.000000
37	2	0.000000
38	0	1.000000
38	1	0.000000
38	2	0.000000
39	0	1.000000
39	1	0.000000
39	2	0.000000
40	0	1.000000
40	1	0.000000
40	2	0.000000
41	0	1.000000
41	1	0.000000
41	2	0.000000
42	0	1.000000
42	1	0.000000
42	2	0.000000
43	0	1.000000
43	1	0.000000
43	2	0.000000
44	0	1.000000
44	1	0.000000
44	2	0.000000
45	0	1.000000
45	1	0.000000
45	2	0.000000
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	1.000000
47	1	0.000000
47	2	0.000000
48	0	1.000000
48	1	0.000000
48	2	0.000000
49	0	1.000000
49	1	0.000000
49	2	0.000000
50	0	0.401064
50	1	0.000000
50	2	0.598936
51	0	1.000000
51	1	0.000000
51	2	0.000000
52	0	0.466068
52	1	0.000000
52	2	0.533932
53	0	1.000000
53	1	0.000000
53	2	0.000000
54	0	1.000000
54	1	0.000000
54	2	0.000000
55	0	0.486878
55	1	0.513122
55	2	0.000000
56	0	1.000000
56	1	0.000000
