i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.489833
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.510167
0	8	0.000000
0	9	0.000000
1	0	0.516053
1	1	0.000000
1	2	0.000002
1	3	0.000000
1	4	0.483944
1	5	0.000000
1	6	0.000000
1	7	0.000000
1	8	0.000000
1	9	0.000000
2	0	0.494031
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	0.505969
2	6	0.000000
2	7	0.000000
2	8	0.000000
2	9	0.000000
3	0	0.494027
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.000000
3	5	0.505973
3	6	0.000000
3	7	0.000000
3	8	0.000000
3	9	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.489833
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.510167
4	8	0.000000
4	9	0.000000
5	0	0.521928
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.478072
5	6	0.000000
5	7	0.000000
5	8	0.000000
5	9	0.000000
6	0	0.499154
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
6	7	0.000000
6	8	0.500846
6	9	0.000000
7	0	0.505264
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.494736
7	5	0.000000
7	6	0.000000
7	7	0.000000
7	8	0.000000
7	9	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	1.000000
8	6	0.000000
8	7	0.000000
8	8	0.000000
8	9	0.000000
9	0	1.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
9	8	0.000000
9	9	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	1.000000
10	6	0.000000
10	7	0.000000
10	8	0.000000
10	9	0.000000
11	0	0.001845
11	1	0.000000
11	2	0.000000
