i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.000000
0	5	1.000000
1	0	0.559689
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.440311
2	0	0.546863
2	1	0.000000
2	2	0.000000
2	3	0.453137
2	4	0.000000
2	5	0.000000
3	0	0.679114
3	1	0.320886
3	2	0.000000
3	3	0.000000
3	4	0.000000
3	5	0.000000
4	0	0.559689
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.440311
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	1.000000
6	0	0.002888
6	1	0.461149
6	2	0.535962
6	3	0.000000
6	4	0.000000
6	5	0.000000
7	0	0.482560
7	1	0.000000
7	2	0.000000
7	3	0.517440
7	4	0.000000
7	5	0.000000
8	0	0.000038
8	1	0.000000
8	2	0.471146
8	3	0.000000
8	4	0.528816
8	5	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	1.000000
10	0	0.000000
10	1	0.528640
10	2	0.000000
10	3	0.000000
10	4	0.471360
10	5	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	1.000000
11	5	0.000000
12	0	0.000000
12	1	0.528640
12	2	0.000000
12	3	0.000000
12	4	0.471360
12	5	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	0.495091
13	4	0.504909
13	5	0.000000
14	0	0.000000
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.000000
14	5	1.000000
15	0	0.000000
15	1	0.000000
15	2	1.000000
15	3	0.000000
15	4	0.000000
15	5	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.473720
16	5	0.526280
17	0	0.000000
17	1	0.568859
17	2	0.431141
17	3	0.000000
17	4	0.000000
17	5	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.522701
18	3	0.477299
18	4	0.000000
