i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.479140
0	3	0.000052
0	4	0.520808
0	5	0.000000
0	6	0.000000
0	7	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	1.000000
2	0	0.000000
2	1	0.439867
2	2	0.000000
2	3	0.000000
2	4	0.560133
2	5	0.000000
2	6	0.000000
2	7	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.999991
3	3	0.000009
3	4	0.000000
3	5	0.000000
3	6	0.000000
3	7	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.999990
4	3	0.000010
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.999996
5	3	0.000004
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	0.000000
6	0	0.000000
6	1	0.000087
6	2	0.000000
6	3	0.000000
6	4	0.999913
6	5	0.000000
6	6	0.000000
6	7	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.999992
7	3	0.000007
7	4	0.000000
7	5	0.000000
7	6	0.000000
7	7	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.497162
8	3	0.000047
8	4	0.502791
8	5	0.000000
8	6	0.000000
8	7	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.999991
9	3	0.000009
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	1.000000
10	4	0.000000
10	5	0.000000
10	6	0.000000
10	7	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000006
11	4	0.000000
11	5	0.999994
11	6	0.000000
11	7	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000005
12	4	0.000000
12	5	0.999995
12	6	0.000000
12	7	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	1.000000
13	4	0.000000
13	5	0.000000
13	6	0.000000
13	7	0.000000
14	0	0.000000
