i	k	etaik
0	0	0.000000
0	1	0.492822
0	2	0.000000
0	3	0.507176
0	4	0.000002
0	5	0.000000
0	6	0.000000
0	7	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.498057
1	3	0.000000
1	4	0.000001
1	5	0.000000
1	6	0.501940
1	7	0.000001
2	0	0.000000
2	1	0.000000
2	2	0.486028
2	3	0.000000
2	4	0.000000
2	5	0.513971
2	6	0.000000
2	7	0.000001
3	0	0.000000
3	1	0.000000
3	2	0.486028
3	3	0.000000
3	4	0.000000
3	5	0.513971
3	6	0.000000
3	7	0.000001
4	0	0.000000
4	1	0.492822
4	2	0.000000
4	3	0.507176
4	4	0.000002
4	5	0.000000
4	6	0.000000
4	7	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.217098
5	3	0.000000
5	4	0.000000
5	5	0.511315
5	6	0.000000
5	7	0.271587
6	0	0.519293
6	1	0.000000
6	2	0.480706
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
6	7	0.000001
7	0	0.000000
7	1	0.000000
7	2	0.189778
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.546055
7	7	0.264167
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	1.000000
8	6	0.000000
8	7	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.706839
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.293161
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	1.000000
10	6	0.000000
10	7	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.521189
11	3	0.000000
11	4	0.000000
11	5	0.478811
11	6	0.000000
11	7	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	0.000000
12	5	1.000000
12	6	0.000000
12	7	0.000000
13	0	0.000000
13	1	0.529095
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.470905
13	6	0.000000
13	7	0.000000
14	0	0.000000
14	1	0.507466
14	2	0.492534
14	3	0.000000
14	4	0.000000
14	5	0.000000
14	6	0.000000
14	7	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.000000
15	5	1.000000
15	6	0.000000
15	7	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
16	5	1.000000
16	6	0.000000
16	7	0.000000
17	0	0.000000
17	1	0.000000
17	2	0.000000
17	3	0.000000
17	4	0.000000
17	5	1.000000
17	6	0.000000
17	7	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.521189
18	3	0.000000
18	4	0.000000
18	5	0.478811
18	6	0.000000
18	7	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.000000
19	3	0.000000
19	4	0.000000
19	5	1.000000
19	6	0.000000
19	7	0.000000
20	0	0.000000
20	1	0.000000
20	2	0.000000
20	3	0.514525
20	4	0.000000
20	5	0.485475
20	6	0.000000
20	7	0.000000
21	0	0.492764
21	1	0.000000
21	2	0.000000
21	3	0.507236
21	4	0.000000
21	5	0.000000
21	6	0.000000
21	7	0.000000
22	0	0.000000
22	1	0.000000
22	2	0.000000
22	3	0.514525
22	4	0.000000
22	5	0.485475
22	6	0.000000
22	7	0.000000
23	0	0.000000
23	1	0.000000
23	2	0.482830
23	3	0.517169
23	4	0.000000
23	5	0.000000
23	6	0.000000
23	7	0.000001
24	0	0.000000
24	1	0.000000
24	2	0.000000
24	3	1.000000
24	4	0.000000
24	5	0.000000
24	6	0.000000
24	7	0.000000
25	0	0.000000
25	1	0.000000
25	2	0.498057
25	3	0.000000
25	4	0.000001
25	5	0.000000
25	6	0.501940
25	7	0.000001
26	0	0.000000
26	1	0.000000
26	2	0.521189
26	3	0.000000
26	4	0.000000
26	5	0.478811
26	6	0.000000
26	7	0.000000
27	0	0.433376
27	1	0.000000
27	2	0.000000
27	3	0.000000
27	4	0.000000
27	5	0.000000
27	6	0.566624
27	7	0.000000
28	0	0.519293
28	1	0.000000
28	2	0.480704
28	3	0.000000
28	4	0.000000
28	5	0.000000
28	6	0.000000
28	7	0.000003
29	0	0.000000
29	1	0.000000
29	2	1.000000
29	3	0.000000
29	4	0.000000
29	5	0.000000
29	6	0.000000
29	7	0.000000
30	0	0.492764
30	1	0.000000
30	2	0.000000
30	3	0.507236
30	4	0.000000
30	5	0.000000
30	6	0.000000
30	7	0.000000
31	0	0.000000
31	1	0.000000
31	2	0.000000
31	3	0.515891
31	4	0.000000
31	5	0.000000
31	6	0.484109
31	7	0.000000
32	0	0.492764
32	1	0.000000
32	2	0.000000
32	3	0.507236
32	4	0.000000
32	5	0.000000
32	6	0.000000
32	7	0.000000
33	0	0.000000
33	1	0.000000
33	2	0.222746
33	3	0.514739
33	4	0.000000
33	5	0.000000
33	6	0.000000
33	7	0.262515
34	0	0.562539
34	1	0.000000
34	2	0.437461
34	3	0.000000
34	4	0.000000
34	5	0.000000
34	6	0.000000
34	7	0.000000
35	0	0.000000
35	1	0.000000
35	2	0.000000
35	3	0.000000
35	4	0.000000
35	5	0.487825
35	6	0.000000
35	7	0.512175
36	0	0.492764
36	1	0.000000
36	2	0.000000
36	3	0.507236
36	4	0.000000
36	5	0.000000
36	6	0.000000
36	7	0.000000
37	0	0.000000
37	1	0.525693
37	2	0.000000
37	3	0.474307
37	4	0.000000
37	5	0.000000
37	6	0.000000
37	7	0.000000
38	0	0.492764
38	1	0.000000
38	2	0.000000
38	3	0.507236
38	4	0.000000
38	5	0.000000
38	6	0.000000
38	7	0.000000
39	0	0.595811
39	1	0.000000
39	2	0.000000
39	3	0.000000
39	4	0.000000
39	5	0.000000
39	6	0.404189
39	7	0.000000
40	0	0.000000
40	1	0.000000
40	2	1.000000
40	3	0.000000
40	4	0.000000
40	5	0.000000
40	6	0.000000
40	7	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.521190
41	3	0.000000
41	4	0.000000
41	5	0.478810
41	6	0.000000
41	7	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.498057
42	3	0.000000
42	4	0.000001
42	5	0.000000
42	6	0.501940
42	7	0.000002
43	0	0.000000
43	1	0.000000
43	2	0.521189
43	3	0.000000
43	4	0.000000
43	5	0.478811
43	6	0.000000
43	7	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
44	4	0.000000
44	5	0.000000
44	6	1.000000
44	7	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.482829
45	3	0.517170
45	4	0.000000
45	5	0.000000
45	6	0.000000
45	7	0.000001
46	0	0.000000
46	1	0.000000
46	2	0.547805
46	3	0.000000
46	4	0.000000
46	5	0.000000
46	6	0.452195
46	7	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.499316
47	3	0.000000
47	4	0.000000
47	5	0.000000
47	6	0.500684
47	7	0.000000
48	0	0.000000
48	1	0.496460
48	2	0.000000
48	3	0.000000
48	4	0.000001
48	5	0.503539
48	6	0.000000
48	7	0.000000
49	0	0.000000
49	1	0.000000
49	2	0.547805
49	3	0.000000
49	4	0.000000
49	5	0.000000
49	6	0.452195
49	7	0.000000
50	0	0.000000
50	1	0.000000
50	2	0.000000
50	3	0.000000
50	4	0.000000
50	5	1.000000
50	6	0.000000
50	7	0.000000
51	0	0.000000
51	1	0.000000
51	2	0.521189
51	3	0.000000
51	4	0.000000
51	5	0.478811
51	6	0.000000
51	7	0.000000
52	0	0.000000
52	1	0.000000
52	2	0.000000
52	3	0.514525
52	4	0.000000
52	5	0.485475
52	6	0.000000
52	7	0.000000
53	0	0.000000
53	1	0.000000
53	2	0.486028
53	3	0.000000
53	4	0.000000
53	5	0.513971
53	6	0.000000
53	7	0.000001
54	0	0.000000
54	1	0.000000
54	2	0.000000
54	3	0.000000
54	4	0.000000
54	5	1.000000
54	6	0.000000
54	7	0.000000
55	0	0.000000
55	1	0.000000
55	2	0.000000
55	3	0.000000
55	4	0.000000
55	5	0.478283
55	6	0.521717
55	7	0.000000
56	0	0.000000
56	1	0.000000
56	2	0.486027
56	3	0.000000
56	4	0.000000
56	5	0.513971
56	6	0.000000
56	7	0.000002
57	0	0.000000
57	1	0.000000
57	2	0.000000
57	3	0.000000
57	4	0.000000
57	5	0.478284
57	6	0.521716
57	7	0.000000
58	0	0.000000
58	1	0.496459
58	2	0.000000
58	3	0.000000
58	4	0.000002
58	5	0.503539
58	6	0.000000
58	7	0.000000
59	0	0.000000
59	1	0.000000
59	2	0.000000
59	3	0.000000
59	4	0.000000
59	5	0.498197
59	6	0.000000
59	7	0.501803
60	0	0.000000
60	1	0.000000
60	2	0.000000
60	3	1.000000
60	4	0.000000
60	5	0.000000
60	6	0.000000
60	7	0.000000
61	0	0.000000
61	1	0.000000
61	2	0.000000
61	3	0.405086
61	4	0.000000
61	5	0.594914
61	6	0.000000
61	7	0.000000
62	0	0.000000
62	1	0.000000
62	2	0.217011
62	3	0.514561
62	4	0.000000
62	5	0.000000
62	6	0.000000
62	7	0.268427
63	0	0.516616
63	1	0.000000
63	2	0.000091
63	3	0.000000
63	4	0.000000
63	5	0.000000
63	6	0.000000
63	7	0.483294
64	0	0.514644
64	1	0.000000
64	2	0.215981
64	3	0.000000
64	4	0.000000
64	5	0.000000
64	6	0.000000
64	7	0.269376
65	0	0.465346
65	1	0.000000
65	2	0.000000
65	3	0.000000
65	4	0.000000
65	5	0.534654
65	6	0.000000
65	7	0.000000
66	0	0.519293
66	1	0.000000
66	2	0.480704
66	3	0.000000
66	4	0.000000
66	5	0.000000
66	6	0.000000
66	7	0.000003
67	0	0.000000
67	1	0.000000
67	2	0.000000
67	3	1.000000
67	4	0.000000
67	5	0.000000
67	6	0.000000
67	7	0.000000
68	0	0.000000
68	1	0.000000
68	2	0.000000
68	3	1.000000
68	4	0.000000
68	5	0.000000
68	6	0.000000
68	7	0.000000
69	0	0.000000
69	1	0.000000
69	2	0.000000
69	3	0.514525
69	4	0.000000
69	5	0.485475
69	6	0.000000
69	7	0.000000
70	0	0.000000
70	1	0.000000
70	2	0.482829
70	3	0.517169
70	4	0.000000
70	5	0.000000
70	6	0.000000
70	7	0.000002
71	0	0.000000
71	1	0.000000
71	2	0.459113
71	3	0.000000
71	4	0.000000
71	5	0.540885
71	6	0.000000
71	7	0.000001
72	0	0.000000
72	1	0.000000
72	2	1.000000
72	3	0.000000
72	4	0.000000
72	5	0.000000
72	6	0.000000
72	7	0.000000
73	0	0.000000
73	1	0.000000
73	2	1.000000
73	3	0.000000
73	4	0.000000
73	5	0.000000
73	6	0.000000
73	7	0.000000
74	0	0.519293
74	1	0.000000
74	2	0.480705
74	3	0.000000
74	4	0.000000
74	5	0.000000
74	6	0.000000
74	7	0.000002
75	0	0.458366
75	1	0.000000
75	2	0.541634
75	3	0.000000
75	4	0.000000
75	5	0.000000
75	6	0.000000
75	7	0.000000
76	0	0.000000
76	1	0.000000
76	2	1.000000
76	3	0.000000
76	4	0.000000
76	5	0.000000
76	6	0.000000
76	7	0.000000
77	0	0.000000
77	1	0.000000
77	2	0.482830
77	3	0.517169
77	4	0.000000
77	5	0.000000
77	6	0.000000
77	7	0.000001
78	0	0.000000
78	1	0.000000
78	2	0.482829
78	3	0.517170
78	4	0.000000
78	5	0.000000
78	6	0.000000
78	7	0.000001
79	0	0.519293
79	1	0.000000
79	2	0.480705
79	3	0.000000
79	4	0.000000
79	5	0.000000
79	6	0.000000
79	7	0.000002
80	0	0.496107
80	1	0.000000
80	2	0.000000
80	3	0.000000
80	4	0.000000
80	5	0.503893
80	6	0.000000
80	7	0.000000
81	0	0.000000
81	1	0.433642
81	2	0.000000
81	3	0.000000
81	4	0.000001
81	5	0.000000
81	6	0.566357
81	7	0.000000
82	0	0.496405
82	1	0.000000
82	2	0.000000
82	3	0.000000
82	4	0.000000
82	5	0.503594
82	6	0.000000
82	7	0.000000
83	0	0.000000
83	1	0.000000
83	2	0.000000
83	3	0.000000
83	4	0.000000
83	5	0.539721
83	6	0.460279
83	7	0.000000
84	0	0.000000
84	1	1.000000
84	2	0.000000
84	3	0.000000
84	4	0.000000
84	5	0.000000
84	6	0.000000
84	7	0.000000
85	0	0.000000
85	1	1.000000
85	2	0.000000
85	3	0.000000
85	4	0.000000
85	5	0.000000
85	6	0.000000
85	7	0.000000
86	0	1.000000
86	1	0.000000
86	2	0.000000
86	3	0.000000
86	4	0.000000
86	5	0.000000
86	6	0.000000
86	7	0.000000
87	0	0.465346
87	1	0.000000
87	2	0.000000
87	3	0.000000
87	4	0.000000
87	5	0.534654
87	6	0.000000
87	7	0.000000
88	0	0.000000
88	1	0.433642
88	2	0.000000
88	3	0.000000
88	4	0.000001
88	5	0.000000
88	6	0.566357
88	7	0.000000
89	0	0.000000
89	1	0.000000
89	2	0.000000
89	3	0.000000
89	4	0.000000
89	5	0.000000
89	6	1.000000
89	7	0.000000
90	0	0.000000
90	1	0.509967
90	2	0.000000
90	3	0.000000
90	4	0.000000
90	5	0.000000
90	6	0.490033
90	7	0.000000
91	0	0.000000
91	1	0.000000
91	2	0.493656
91	3	0.000000
91	4	0.000000
91	5	0.506344
91	6	0.000000
91	7	0.000000
92	0	0.458366
92	1	0.000000
92	2	0.541634
92	3	0.000000
92	4	0.000000
92	5	0.000000
92	6	0.000000
92	7	0.000000
93	0	0.000000
93	1	0.492822
93	2	0.000000
93	3	0.507176
93	4	0.000001
93	5	0.000000
93	6	0.000000
93	7	0.000000
94	0	0.000000
94	1	0.492822
94	2	0.000000
94	3	0.507176
94	4	0.000002
94	5	0.000000
94	6	0.000000
94	7	0.000000
95	0	0.000000
95	1	0.454058
95	2	0.000000
95	3	0.000000
95	4	0.000000
95	5	0.000000
95	6	0.000000
95	7	0.545942
96	0	0.000000
96	1	0.528029
96	2	0.000000
96	3	0.000000
96	4	0.000002
96	5	0.000000
96	6	0.471969
96	7	0.000000
97	0	0.000000
97	1	0.000000
97	2	0.000000
97	3	0.000000
97	4	0.000000
97	5	0.000000
97	6	0.524262
97	7	0.475738
98	0	0.000000
98	1	0.000000
98	2	0.596596
98	3	0.000000
98	4	0.000000
98	5	0.000000
98	6	0.000000
98	7	0.403404
99	0	0.000000
99	1	0.458501
99	2	0.541499
99	3	0.000000
99	4	0.000001
99	5	0.000000
99	6	0.000000
99	7	0.000000
100	0	1.000000
100	1	0.000000
100	2	0.000000
100	3	0.000000
100	4	0.000000
100	5	0.000000
100	6	0.000000
100	7	0.000000
101	0	0.495360
101	1	0.000000
101	2	0.000000
101	3	0.000000
101	4	0.000000
101	5	0.504639
101	6	0.000000
101	7	0.000000
102	0	0.000000
