i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	1.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	1.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	1.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	1.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	1.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	1.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	1.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	1.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	1.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	1.000000
10	0	0.000309
10	1	0.000000
10	2	0.000000
10	3	0.489339
10	4	0.510352
11	0	0.000122
11	1	0.000000
11	2	0.000000
11	3	0.489530
11	4	0.510348
12	0	0.919032
12	1	0.000000
12	2	0.000000
12	3	0.080968
12	4	0.000000
13	0	0.000000
13	1	0.000000
13	2	0.000000
13	3	1.000000
13	4	0.000000
14	0	0.000153
14	1	0.000000
14	2	0.000000
14	3	0.528199
14	4	0.471649
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	1.000000
16	0	0.532224
16	1	0.000000
16	2	0.000000
16	3	0.000027
16	4	0.467749
17	0	0.897365
17	1	0.000000
17	2	0.000000
17	3	0.102635
17	4	0.000000
18	0	0.000192
18	1	0.000000
18	2	0.000000
18	3	0.528158
18	4	0.471650
19	0	0.904863
19	1	0.000000
19	2	0.000000
19	3	0.095137
19	4	0.000000
20	0	0.831339
20	1	0.000000
20	2	0.000000
20	3	0.168661
20	4	0.000000
21	0	0.000000
21	1	0.000000
21	2	0.491378
21	3	0.508622
21	4	0.000000
22	0	0.000000
22	1	0.000000
22	2	0.491378
22	3	0.508622
22	4	0.000000
23	0	0.000000
23	1	0.000000
23	2	0.491378
23	3	0.508622
23	4	0.000000
24	0	0.846906
24	1	0.000000
24	2	0.000000
24	3	0.153094
24	4	0.000000
25	0	0.000193
25	1	0.000000
25	2	0.000000
25	3	0.489458
25	4	0.510349
26	0	0.000139
26	1	0.000000
26	2	0.000000
26	3	0.999861
26	4	0.000000
27	0	0.000193
27	1	0.000000
27	2	0.000000
27	3	0.489457
27	4	0.510349
28	0	0.825595
28	1	0.000000
28	2	0.000000
28	3	0.174405
28	4	0.000000
29	0	0.000000
29	1	0.000000
29	2	0.491378
29	3	0.508622
29	4	0.000000
30	0	0.000000
30	1	0.000000
30	2	1.000000
30	3	0.000000
30	4	0.000000
31	0	0.000000
31	1	0.000000
31	2	1.000000
31	3	0.000000
31	4	0.000000
32	0	0.000000
32	1	1.000000
32	2	0.000000
32	3	0.000000
32	4	0.000000
33	0	0.000010
33	1	0.464992
33	2	0.489797
33	3	0.045201
33	4	0.000000
34	0	0.000000
34	1	0.000000
34	2	1.000000
34	3	0.000000
34	4	0.000000
35	0	0.000008
35	1	0.464331
35	2	0.489641
35	3	0.046019
35	4	0.000000
36	0	0.000000
36	1	0.000000
36	2	1.000000
36	3	0.000000
36	4	0.000000
37	0	0.000000
37	1	1.000000
37	2	0.000000
37	3	0.000000
37	4	0.000000
38	0	0.000000
38	1	0.000000
38	2	1.000000
38	3	0.000000
38	4	0.000000
39	0	0.000000
39	1	1.000000
39	2	0.000000
39	3	0.000000
39	4	0.000000
40	0	0.000000
40	1	1.000000
40	2	0.000000
40	3	0.000000
40	4	0.000000
41	0	0.000000
41	1	1.000000
41	2	0.000000
41	3	0.000000
41	4	0.000000
42	0	0.000000
42	1	1.000000
42	2	0.000000
42	3	0.000000
42	4	0.000000
43	0	0.000000
43	1	1.000000
43	2	0.000000
43	3	0.000000
43	4	0.000000
44	0	0.000000
44	1	1.000000
44	2	0.000000
44	3	0.000000
44	4	0.000000
45	0	0.000000
45	1	1.000000
45	2	0.000000
45	3	0.000000
45	4	0.000000
46	0	0.000000
46	1	1.000000
46	2	0.000000
46	3	0.000000
46	4	0.000000
47	0	0.000000
47	1	1.000000
47	2	0.000000
47	3	0.000000
47	4	0.000000
48	0	0.000000
48	1	1.000000
48	2	0.000000
48	3	0.000000
48	4	0.000000
49	0	0.000000
49	1	1.000000
49	2	0.000000
49	3	0.000000
49	4	0.000000

