i	k	etaik
0	0	0.000000
0	1	0.692177
0	2	0.000000
0	3	0.000000
0	4	0.307823
0	5	0.000000
1	0	0.257917
1	1	0.257917
1	2	0.000000
1	3	0.000000
1	4	0.257917
1	5	0.226248
2	0	0.000000
2	1	1.000000
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	0.000000
3	0	0.000000
3	1	0.351069
3	2	0.000000
3	3	0.000000
3	4	0.351069
3	5	0.297862
4	0	0.500000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.500000
4	5	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	1.000000
6	0	0.000000
6	1	1.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
7	0	0.348009
7	1	0.348009
7	2	0.000000
7	3	0.000000
7	4	0.000000
7	5	0.303982
8	0	0.580923
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.419077
9	0	0.000000
9	1	0.500000
9	2	0.000000
9	3	0.000000
9	4	0.500000
9	5	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	1.000000
10	4	0.000000
10	5	0.000000
11	0	0.000000
11	1	1.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.000000
12	0	0.268101
12	1	0.000000
12	2	0.000000
12	3	0.000000
12	4	0.268101
12	5	0.463799
13	0	0.000000
13	1	1.000000
13	2	0.000000
13	3	0.000000
13	4	0.000000
13	5	0.000000
14	0	0.000000
14	1	0.500000
14	2	0.000000
14	3	0.000000
14	4	0.500000
14	5	0.000000
15	0	0.000001
15	1	0.000001
15	2	0.999994
15	3	0.000000
15	4	0.000001
15	5	0.000001
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.573921
16	5	0.426079
17	0	0.125014
17	1	0.125014
17	2	0.000000
17	3	0.499943
17	4	0.125014
17	5	0.125014
18	0	1.000000
18	1	0.000000
18	2	0.000000
18	3	0.000000
18	4	0.000000
18	5	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.640369
19	3	0.359631
19	4	0.000000
19	5	0.000000
20	0	0.668548
20	1	0.331452
20	2	0.000000
20	3	0.000000
20	4	0.000000
20	5	0.000000
21	0	0.573921
21	1	0.000000
21	2	0.000000
21	3	0.000000
21	4	0.000000
21	5	0.426079
22	0	0.500000
22	1	0.500000
22	2	0.000000
22	3	0.000000
22	4	0.000000
22	5	0.000000
23	0	0.333333
23	1	0.333333
23	2	0.000000
23	3	0.000000
23	4	0.333333
23	5	0.000000
24	0	0.515835
24	1	0.000000
24	2	0.000000
24	3	0.000000
24	4	0.257917
24	5	0.226248
25	0	0.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
25	4	1.000000
25	5	0.000000
26	0	0.000000
26	1	0.000000
26	2	0.000000
26	3	0.000000
26	4	0.000000
26	5	1.000000
27	0	0.500000
27	1	0.000000
27	2	0.000000
27	3	0.000000
27	4	0.500000
27	5	0.000000
28	0	0.000000
28	1	1.000000
28	2	0.000000
28	3	0.000000
28	4	0.000000
28	5	0.000000
29	0	0.000000
29	1	0.000000
29	2	0.000000
29	3	0.000000
29	4	0.368456
29	5	0.631544

