i	k	etaik
0	0	0.001094
0	1	0.574766
0	2	0.424140
0	3	0.000000
0	4	0.000000
1	0	0.039027
1	1	0.487838
1	2	0.473135
1	3	0.000000
1	4	0.000000
2	0	0.000001
2	1	0.999999
2	2	0.000000
2	3	0.000000
2	4	0.000000
3	0	0.000000
3	1	1.000000
3	2	0.000000
3	3	0.000000
3	4	0.000000
4	0	0.040507
4	1	0.487360
4	2	0.472133
4	3	0.000000
4	4	0.000000
5	0	1.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
6	0	0.510482
6	1	0.489518
6	2	0.000000
6	3	0.000000
6	4	0.000000
7	0	0.043039
7	1	0.486542
7	2	0.470419
7	3	0.000000
7	4	0.000000
8	0	0.000000
8	1	1.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
9	0	0.014331
9	1	0.486787
9	2	0.002951
9	3	0.495931
9	4	0.000000
10	0	0.000000
10	1	0.000000
10	2	1.000000
10	3	0.000000
10	4	0.000000
11	0	1.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
12	0	0.523903
12	1	0.000000
12	2	0.476097
12	3	0.000000
12	4	0.000000
13	0	0.523903
13	1	0.000000
13	2	0.476097
13	3	0.000000
13	4	0.000000
14	0	0.000001
14	1	0.000000
14	2	0.000000
14	3	0.000000
14	4	0.999999
15	0	0.999978
15	1	0.000014
15	2	0.000000
15	3	0.000008
15	4	0.000000
16	0	1.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
17	0	1.000000
17	1	0.000000
17	2	0.000000
17	3	0.000000
17	4	0.000000
18	0	0.523903
18	1	0.000000
18	2	0.476097
18	3	0.000000
18	4	0.000000
19	0	0.523903
19	1	0.000000
19	2	0.476097
19	3	0.000000
19	4	0.000000
20	0	1.000000
20	1	0.000000
20	2	0.000000
20	3	0.000000
20	4	0.000000
21	0	1.000000
21	1	0.000000
21	2	0.000000
21	3	0.000000
21	4	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
22	3	0.000000
22	4	0.000000
23	0	0.999994
23	1	0.000000
23	2	0.000006
23	3	0.000000
23	4	0.000000
24	0	1.000000
24	1	0.000000
24	2	0.000000
24	3	0.000000
24	4	0.000000
25	0	1.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
25	4	0.000000
26	0	1.000000
26	1	0.000000
26	2	0.000000
26	3	0.000000
26	4	0.000000
27	0	1.000000
27	1	0.000000
27	2	0.000000
27	3	0.000000
27	4	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
28	3	0.000000
28	4	0.000000
29	0	1.000000
29	1	0.000000
29	2	0.000000
29	3	0.000000
29	4	0.000000
30	0	0.000000
30	1	0.000000
30	2	1.000000
30	3	0.000000
30	4	0.000000
31	0	0.000000
31	1	0.000000
31	2	1.000000
31	3	0.000000
31	4	0.000000
32	0	0.340490
32	1	0.000000
32	2	0.659510
32	3	0.000000
32	4	0.000000
33	0	0.340599
33	1	0.000000
33	2	0.659401
33	3	0.000000
33	4	0.000000
34	0	0.340562
34	1	0.000000
34	2	0.659438
34	3	0.000000
34	4	0.000000
35	0	0.000000
35	1	0.000000
35	2	1.000000
35	3	0.000000
35	4	0.000000
36	0	0.000000
36	1	0.000000
36	2	1.000000
36	3	0.000000
36	4	0.000000
37	0	0.000000
37	1	0.000000
37	2	1.000000
37	3	0.000000
37	4	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.476098
38	3	0.523902
38	4	0.000000
39	0	0.000000
39	1	0.000000
39	2	1.000000
39	3	0.000000
39	4	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.476097
40	3	0.523903
40	4	0.000000
41	0	0.000002
41	1	0.000000
41	2	0.000001
41	3	0.999997
41	4	0.000000
42	0	0.000000
42	1	0.000000
42	2	1.000000
42	3	0.000000
42	4	0.000000
43	0	0.000001
43	1	0.000000
43	2	0.000003
43	3	0.999997
43	4	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.476098
44	3	0.523902
44	4	0.000000
45	0	0.000001
45	1	0.000000
45	2	0.000002
45	3	0.999997
45	4	0.000000
46	0	0.000002
46	1	0.000000
46	2	0.000001
46	3	0.999997
46	4	0.000000
47	0	0.000000
47	1	0.000000
47	2	1.000000
47	3	0.000000
47	4	0.000000
48	0	0.000001
48	1	0.000000
48	2	0.000003
48	3	0.999997
48	4	0.000000
49	0	0.000001
49	1	0.000000
49	2	0.000003
49	3	0.999996
49	4	0.000000

