i	k	etaik
0	0	0.510441
0	1	0.489559
1	0	1.000000
1	1	0.000000
2	0	1.000000
2	1	0.000000
3	0	1.000000
3	1	0.000000
4	0	1.000000
4	1	0.000000
5	0	1.000000
5	1	0.000000
6	0	0.451860
6	1	0.548140
7	0	1.000000
7	1	0.000000
8	0	1.000000
8	1	0.000000
9	0	1.000000
9	1	0.000000
10	0	1.000000
10	1	0.000000
11	0	1.000000
11	1	0.000000
12	0	0.510441
12	1	0.489559
13	0	1.000000
13	1	0.000000
14	0	1.000000
14	1	0.000000
15	0	0.000000
15	1	1.000000
16	0	0.510441
16	1	0.489559
17	0	0.510439
17	1	0.489561
18	0	0.510440
18	1	0.489560
19	0	0.510441
19	1	0.489559
20	0	1.000000
20	1	0.000000
21	0	0.510440
21	1	0.489560
22	0	0.480816
22	1	0.519184
23	0	1.000000
23	1	0.000000
24	0	1.000000
24	1	0.000000
25	0	0.510439
25	1	0.489561
26	0	1.000000
26	1	0.000000
27	0	1.000000
27	1	0.000000
28	0	1.000000
28	1	0.000000
29	0	1.000000
29	1	0.000000
30	0	0.000000
30	1	1.000000
31	0	0.000000
31	1	1.000000
32	0	1.000000
32	1	0.000000
33	0	0.000000
33	1	1.000000
34	0	0.000000
34	1	1.000000
35	0	0.510440
35	1	0.489560
36	0	0.000000
36	1	1.000000
37	0	0.000000
37	1	1.000000
38	0	0.000000
38	1	1.000000
39	0	0.000000
39	1	1.000000
40	0	0.000000
40	1	1.000000
41	0	0.000000
41	1	1.000000
42	0	0.000000
42	1	1.000000
43	0	0.000000
43	1	1.000000
44	0	0.481765
44	1	0.518235
45	0	0.000000
45	1	1.000000
46	0	0.000000
46	1	1.000000
47	0	0.000000
47	1	1.000000
48	0	0.478102
48	1	0.521898
49	0	0.000000
49	1	1.000000

