k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	1.000000
0	1	1	0.000000
0	2	0	1.000000
0	2	1	0.000000
0	3	0	1.000000
0	3	1	0.000000
0	4	0	0.000000
0	4	1	1.000000
0	5	0	1.000000
0	5	1	0.000000
0	6	0	0.000000
0	6	1	1.000000
0	7	0	1.000000
0	7	1	0.000000
0	8	0	1.000000
0	8	1	0.000000
0	9	0	1.000000
0	9	1	0.000000
1	0	0	1.000000
1	0	1	0.000000
1	1	0	1.000000
1	1	1	0.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	1.000000
1	3	1	0.000000
1	4	0	0.000000
1	4	1	1.000000
1	5	0	1.000000
1	5	1	0.000000
1	6	0	0.000000
1	6	1	1.000000
1	7	0	1.000000
1	7	1	0.000000
1	8	0	1.000000
1	8	1	0.000000
1	9	0	1.000000
1	9	1	0.000000
2	0	0	1.000000
2	0	1	0.000000
2	1	0	1.000000
2	1	1	0.000000
2	2	0	1.000000
2	2	1	0.000000
2	3	0	1.000000
2	3	1	0.000000
2	4	0	0.000000
2	4	1	1.000000
2	5	0	1.000000
2	5	1	0.000000
2	6	0	0.000000
2	6	1	1.000000
2	7	0	1.000000
2	7	1	0.000000
2	8	0	1.000000
2	8	1	0.000000
2	9	0	0.434834
2	9	1	0.565166
3	0	0	0.000000
3	0	1	1.000000
3	1	0	0.000000
3	1	1	1.000000
3	2	0	0.698272
3	2	1	0.301728
3	3	0	0.000000
3	3	1	1.000000
3	4	0	0.027890
3	4	1	0.972110
3	5	0	0.466775
3	5	1	0.533225
3	6	0	1.000000
3	6	1	0.000000
3	7	0	0.000000
3	7	1	1.000000
3	8	0	0.527777
3	8	1	0.472223
3	9	0	1.000000
3	9	1	0.000000

