i	k	etaik
0	0	1.000000
0	1	0.000000
1	0	1.000000
1	1	0.000000
2	0	1.000000
2	1	0.000000
3	0	0.552898
3	1	0.447102
4	0	1.000000
4	1	0.000000
5	0	1.000000
5	1	0.000000
6	0	1.000000
6	1	0.000000
7	0	1.000000
7	1	0.000000
8	0	1.000000
8	1	0.000000
9	0	1.000000
9	1	0.000000
10	0	1.000000
10	1	0.000000
11	0	1.000000
11	1	0.000000
12	0	0.674040
12	1	0.325960
13	0	1.000000
13	1	0.000000
14	0	0.560036
14	1	0.439964
15	0	0.674039
15	1	0.325961
16	0	1.000000
16	1	0.000000
17	0	0.674039
17	1	0.325961
18	0	1.000000
18	1	0.000000
19	0	1.000000
19	1	0.000000
20	0	0.454294
20	1	0.545706
21	0	0.000000
21	1	1.000000
22	0	0.000000
22	1	1.000000
23	0	0.000000
23	1	1.000000
24	0	0.406472
24	1	0.593528
25	0	0.454294
25	1	0.545706
26	0	0.000000
26	1	1.000000
27	0	0.454294
27	1	0.545706
28	0	0.000000
28	1	1.000000
29	0	0.000000
29	1	1.000000
30	0	0.548465
30	1	0.451535
31	0	0.443744
31	1	0.556256
32	0	0.000000
32	1	1.000000
33	0	0.000000
33	1	1.000000
34	0	0.000000
34	1	1.000000
35	0	0.000000
35	1	1.000000
36	0	0.000000
36	1	1.000000
37	0	1.000000
37	1	0.000000
38	0	0.000000
38	1	1.000000
39	0	0.000000
39	1	1.000000
40	0	1.000000
40	1	0.000000
41	0	1.000000
41	1	0.000000
42	0	1.000000
42	1	0.000000
43	0	0.667099
43	1	0.332901
44	0	0.667099
44	1	0.332901
45	0	1.000000
45	1	0.000000
46	0	1.000000
46	1	0.000000
47	0	0.552898
47	1	0.447102
48	0	1.000000
48	1	0.000000
49	0	1.000000
49	1	0.000000

