i	k	etaik
0	0	0.000000
0	1	0.404450
0	2	0.595550
1	0	0.000000
1	1	0.000000
1	2	1.000000
2	0	0.000000
2	1	0.000000
2	2	1.000000
3	0	0.000000
3	1	0.000000
3	2	1.000000
4	0	0.000000
4	1	0.000000
4	2	1.000000
5	0	0.000000
5	1	0.404353
5	2	0.595647
6	0	0.000000
6	1	0.000000
6	2	1.000000
7	0	0.000000
7	1	0.000000
7	2	1.000000
8	0	0.000000
8	1	0.999636
8	2	0.000364
9	0	0.000000
9	1	0.000000
9	2	1.000000
10	0	0.000000
10	1	0.000000
10	2	1.000000
11	0	0.000000
11	1	0.000000
11	2	1.000000
12	0	0.000000
12	1	0.000000
12	2	1.000000
13	0	0.000000
13	1	0.000000
13	2	1.000000
14	0	0.000000
14	1	0.000000
14	2	1.000000
15	0	0.000000
15	1	0.000000
15	2	1.000000
16	0	0.000000
16	1	0.000000
16	2	1.000000
17	0	0.000000
17	1	0.000000
17	2	1.000000
18	0	0.000000
18	1	0.000000
18	2	1.000000
19	0	0.000000
19	1	0.000000
19	2	1.000000
20	0	0.502017
20	1	0.000000
20	2	0.497983
21	0	0.000000
21	1	0.000000
21	2	1.000000
22	0	0.435634
22	1	0.564366
22	2	0.000000
23	0	0.502017
23	1	0.000000
23	2	0.497983
24	0	0.000000
24	1	0.000000
24	2	1.000000
25	0	0.000000
25	1	0.000000
25	2	1.000000
26	0	0.000000
26	1	0.000000
26	2	1.000000
27	0	0.000000
27	1	0.397250
27	2	0.602750
28	0	0.502017
28	1	0.000000
28	2	0.497983
29	0	0.000000
29	1	0.000000
29	2	1.000000
30	0	1.000000
30	1	0.000000
30	2	0.000000
31	0	1.000000
31	1	0.000000
31	2	0.000000
32	0	0.502017
32	1	0.000000
32	2	0.497983
33	0	0.000000
33	1	0.000000
33	2	1.000000
34	0	0.000000
34	1	0.000000
34	2	1.000000
35	0	0.000000
35	1	0.000000
35	2	1.000000
36	0	1.000000
36	1	0.000000
36	2	0.000000
37	0	0.502017
37	1	0.000000
37	2	0.497983
38	0	0.502017
38	1	0.000000
38	2	0.497983
39	0	1.000000
39	1	0.000000
39	2	0.000000
40	0	0.502017
40	1	0.000000
40	2	0.497983
41	0	1.000000
41	1	0.000000
41	2	0.000000
42	0	1.000000
42	1	0.000000
42	2	0.000000
43	0	1.000000
43	1	0.000000
43	2	0.000000
44	0	1.000000
44	1	0.000000
44	2	0.000000
45	0	0.502017
45	1	0.000000
45	2	0.497983
46	0	1.000000
46	1	0.000000
46	2	0.000000
47	0	1.000000
47	1	0.000000
47	2	0.000000
48	0	0.502017
48	1	0.000000
48	2	0.497983
49	0	1.000000
49	1	0.000000
49	2	0.000000

