k	l	m	KLM
0	0	0	0.765160
0	0	1	0.234840
0	1	0	0.656399
0	1	1	0.343601
0	2	0	0.432152
0	2	1	0.567848
0	3	0	0.159485
0	3	1	0.840515
0	4	0	0.343601
0	4	1	0.656399
0	5	0	0.000000
0	5	1	1.000000
0	6	0	0.567848
0	6	1	0.432152
0	7	0	0.000000
0	7	1	1.000000
0	8	0	0.000000
0	8	1	1.000000
0	9	0	0.943867
0	9	1	0.056133
1	0	0	1.000000
1	0	1	0.000000
1	1	0	0.000000
1	1	1	1.000000
1	2	0	0.000000
1	2	1	1.000000
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.000000
1	5	1	1.000000
1	6	0	1.000000
1	6	1	0.000000
1	7	0	0.000000
1	7	1	1.000000
1	8	0	1.000000
1	8	1	0.000000
1	9	0	1.000000
1	9	1	0.000000
2	0	0	1.000000
2	0	1	0.000000
2	1	0	0.000000
2	1	1	1.000000
2	2	0	0.000000
2	2	1	1.000000
2	3	0	0.000000
2	3	1	1.000000
2	4	0	1.000000
2	4	1	0.000000
2	5	0	0.000000
2	5	1	1.000000
2	6	0	1.000000
2	6	1	0.000000
2	7	0	0.000000
2	7	1	1.000000
2	8	0	0.000000
2	8	1	1.000000
2	9	0	1.000000
2	9	1	0.000000
3	0	0	1.000000
3	0	1	0.000000
3	1	0	0.000000
3	1	1	1.000000
3	2	0	0.000000
3	2	1	1.000000
3	3	0	0.000000
3	3	1	1.000000
3	4	0	1.000000
3	4	1	0.000000
3	5	0	0.283278
3	5	1	0.716722
3	6	0	1.000000
3	6	1	0.000000
3	7	0	0.328897
3	7	1	0.671103
3	8	0	0.000000
3	8	1	1.000000
3	9	0	1.000000
3	9	1	0.000000

