k	l	m	KLM
0	0	0	0.000000
0	0	1	1.000000
0	1	0	0.000000
0	1	1	1.000000
0	2	0	0.000000
0	2	1	1.000000
0	3	0	0.417497
0	3	1	0.582503
0	4	0	0.982638
0	4	1	0.017362
0	5	0	1.000000
0	5	1	0.000000
0	6	0	0.585176
0	6	1	0.414824
0	7	0	0.735026
0	7	1	0.264974
0	8	0	0.000001
0	8	1	0.999999
0	9	0	0.000000
0	9	1	1.000000
0	10	0	0.264974
0	10	1	0.735026
0	11	0	0.000000
0	11	1	1.000000
0	12	0	1.000000
0	12	1	0.000000
0	13	0	0.000000
0	13	1	1.000000
0	14	0	0.000000
0	14	1	1.000000
0	15	0	0.008676
0	15	1	0.991324
0	16	0	0.000000
0	16	1	1.000000
0	17	0	0.735026
0	17	1	0.264974
0	18	0	0.000000
0	18	1	1.000000
0	19	0	0.991324
0	19	1	0.008676
0	20	0	0.582503
0	20	1	0.417497
0	21	0	1.000000
0	21	1	0.000000
0	22	0	1.000000
0	22	1	0.000000
0	23	0	1.000000
0	23	1	0.000000
0	24	0	0.000000
0	24	1	1.000000
0	25	0	0.155919
0	25	1	0.844081
0	26	0	0.008676
0	26	1	0.991324
0	27	0	1.000000
0	27	1	0.000000
0	28	0	1.000000
0	28	1	0.000000
0	29	0	1.000000
0	29	1	0.000000
0	30	0	1.000000
0	30	1	0.000000
0	31	0	0.000000
0	31	1	1.000000
0	32	0	1.000000
0	32	1	0.000000
0	33	0	0.000000
0	33	1	1.000000
0	34	0	0.000000
0	34	1	1.000000
0	35	0	0.582503
0	35	1	0.417497
0	36	0	0.000000
0	36	1	1.000000
0	37	0	0.844081
0	37	1	0.155919
0	38	0	0.000000
0	38	1	1.000000
0	39	0	0.000000
0	39	1	1.000000
0	40	0	0.249836
0	40	1	0.750164
0	41	0	0.000000
0	41	1	1.000000
0	42	0	1.000000
0	42	1	0.000000
0	43	0	0.000000
0	43	1	1.000000
0	44	0	1.000000
0	44	1	0.000000
0	45	0	0.000000
0	45	1	1.000000
0	46	0	1.000000
0	46	1	0.000000
0	47	0	0.582503
0	47	1	0.417497
0	48	0	1.000000
0	48	1	0.000000
0	49	0	1.000000
0	49	1	0.000000
0	50	0	1.000000
0	50	1	0.000000
0	51	0	0.008676
0	51	1	0.991324
0	52	0	1.000000
0	52	1	0.000000
0	53	0	0.000000
0	53	1	1.000000
0	54	0	1.000000
0	54	1	0.000000
0	55	0	0.000000
0	55	1	1.000000
0	56	0	0.000000
0	56	1	1.000000
0	57	0	0.582503
0	57	1	0.417497
0	58	0	1.000000
0	58	1	0.000000
0	59	0	0.000000
0	59	1	1.000000
0	60	0	1.000000
0	60	1	0.000000
0	61	0	0.155919
0	61	1	0.844081
0	62	0	0.715651
0	62	1	0.284349
0	63	0	1.000000
0	63	1	0.000000
0	64	0	0.582503
0	64	1	0.417497
0	65	0	1.000000
0	65	1	0.000000
0	66	0	1.000000
0	66	1	0.000000
0	67	0	0.284349
0	67	1	0.715651
0	68	0	0.417497
0	68	1	0.582503
0	69	0	1.000000
0	69	1	0.000000
0	70	0	0.414824
0	70	1	0.585176
1	0	0	0.326286
1	0	1	0.673714
1	1	0	1.000000
1	1	1	0.000000
1	2	0	1.000000
1	2	1	0.000000
1	3	0	0.000000
1	3	1	1.000000
1	4	0	1.000000
1	4	1	0.000000
1	5	0	0.988174
1	5	1	0.011826
1	6	0	0.000000
1	6	1	1.000000
1	7	0	1.000000
1	7	1	0.000000
1	8	0	0.023552
1	8	1	0.976448
1	9	0	0.326286
1	9	1	0.673714
1	10	0	0.000000
1	10	1	1.000000
1	11	0	0.326286
1	11	1	0.673714
1	12	0	0.673714
1	12	1	0.326286
1	13	0	1.000000
1	13	1	0.000000
1	14	0	0.023680
1	14	1	0.976320
1	15	0	0.000000
1	15	1	1.000000
1	16	0	0.326286
1	16	1	0.673714
1	17	0	1.000000
1	17	1	0.000000
1	18	0	1.000000
1	18	1	0.000000
1	19	0	1.000000
1	19	1	0.000000
1	20	0	1.000000
1	20	1	0.000000
1	21	0	0.317395
1	21	1	0.682605
1	22	0	0.988174
1	22	1	0.011826
1	23	0	0.673714
1	23	1	0.326286
1	24	0	0.223510
1	24	1	0.776490
1	25	0	0.000000
1	25	1	1.000000
1	26	0	0.000000
1	26	1	1.000000
1	27	0	0.673714
1	27	1	0.326286
1	28	0	0.673714
1	28	1	0.326286
1	29	0	0.317395
1	29	1	0.682605
1	30	0	0.000000
1	30	1	1.000000
1	31	0	0.242906
1	31	1	0.757094
1	32	0	0.000000
1	32	1	1.000000
1	33	0	1.000000
1	33	1	0.000000
1	34	0	1.000000
1	34	1	0.000000
1	35	0	1.000000
1	35	1	0.000000
1	36	0	0.082491
1	36	1	0.917509
1	37	0	1.000000
1	37	1	0.000000
1	38	0	1.000000
1	38	1	0.000000
1	39	0	1.000000
1	39	1	0.000000
1	40	0	0.000000
1	40	1	1.000000
1	41	0	0.326286
1	41	1	0.673714
1	42	0	0.317394
1	42	1	0.682606
1	43	0	0.011826
1	43	1	0.988174
1	44	0	0.988249
1	44	1	0.011751
1	45	0	0.682606
1	45	1	0.317394
1	46	0	0.976574
1	46	1	0.023426
1	47	0	1.000000
1	47	1	0.000000
1	48	0	0.988174
1	48	1	0.011826
1	49	0	0.571541
1	49	1	0.428459
1	50	0	0.317395
1	50	1	0.682605
1	51	0	0.000000
1	51	1	1.000000
1	52	0	0.917509
1	52	1	0.082491
1	53	0	0.326286
1	53	1	0.673714
1	54	0	0.000000
1	54	1	1.000000
1	55	0	1.000000
1	55	1	0.000000
1	56	0	1.000000
1	56	1	0.000000
1	57	0	1.000000
1	57	1	0.000000
1	58	0	0.317395
1	58	1	0.682605
1	59	0	1.000000
1	59	1	0.000000
1	60	0	0.988174
1	60	1	0.011826
1	61	0	0.000000
1	61	1	1.000000
1	62	0	1.000000
1	62	1	0.000000
1	63	0	0.757094
1	63	1	0.242906
1	64	0	1.000000
1	64	1	0.000000
1	65	0	0.673714
1	65	1	0.326286
1	66	0	0.673714
1	66	1	0.326286
1	67	0	0.000000
1	67	1	1.000000
1	68	0	0.000000
1	68	1	1.000000
1	69	0	0.317393
1	69	1	0.682607
1	70	0	1.000000
1	70	1	0.000000

