i	k	etaik
0	0	1.000000
0	1	0.000000
1	0	1.000000
1	1	0.000000
2	0	1.000000
2	1	0.000000
3	0	1.000000
3	1	0.000000
4	0	1.000000
4	1	0.000000
5	0	1.000000
5	1	0.000000
6	0	1.000000
6	1	0.000000
7	0	1.000000
7	1	0.000000
8	0	1.000000
8	1	0.000000
9	0	1.000000
9	1	0.000000
10	0	1.000000
10	1	0.000000
11	0	1.000000
11	1	0.000000
12	0	1.000000
12	1	0.000000
13	0	1.000000
13	1	0.000000
14	0	1.000000
14	1	0.000000
15	0	1.000000
15	1	0.000000
16	0	1.000000
16	1	0.000000
17	0	1.000000
17	1	0.000000
18	0	0.928170
18	1	0.071830
19	0	1.000000
19	1	0.000000
20	0	1.000000
20	1	0.000000
21	0	0.929047
21	1	0.070953
22	0	1.000000
22	1	0.000000
23	0	0.929047
23	1	0.070953
24	0	1.000000
24	1	0.000000
25	0	0.929047
25	1	0.070953
26	0	0.861274
26	1	0.138726
27	0	1.000000
27	1	0.000000
28	0	1.000000
28	1	0.000000
29	0	0.929047
29	1	0.070953
30	0	1.000000
30	1	0.000000
31	0	1.000000
31	1	0.000000
32	0	1.000000
32	1	0.000000
33	0	1.000000
33	1	0.000000
34	0	1.000000
34	1	0.000000
35	0	1.000000
35	1	0.000000
36	0	1.000000
36	1	0.000000
37	0	1.000000
37	1	0.000000
38	0	1.000000
38	1	0.000000
39	0	1.000000
39	1	0.000000
40	0	1.000000
40	1	0.000000
41	0	1.000000
41	1	0.000000
42	0	1.000000
42	1	0.000000
43	0	1.000000
43	1	0.000000
44	0	1.000000
44	1	0.000000
45	0	1.000000
45	1	0.000000
46	0	1.000000
46	1	0.000000
47	0	1.000000
47	1	0.000000
48	0	1.000000
48	1	0.000000
49	0	1.000000
49	1	0.000000
50	0	0.494566
50	1	0.505434
51	0	0.494566
51	1	0.505434
52	0	0.000000
52	1	1.000000
53	0	0.490405
53	1	0.509595
54	0	0.494357
54	1	0.505643
55	0	0.000000
55	1	1.000000
56	0	0.000000
56	1	1.000000
57	0	0.490405
57	1	0.509595
58	0	0.482414
58	1	0.517586
59	0	1.000000
59	1	0.000000
60	0	0.495029
60	1	0.504971
61	0	0.000000
61	1	1.000000
62	0	0.000000
62	1	1.000000
63	0	0.000000
63	1	1.000000
64	0	0.000000
64	1	1.000000
65	0	0.000000
65	1	1.000000
66	0	0.000000
66	1	1.000000
67	0	0.000000
67	1	1.000000
68	0	0.000000
68	1	1.000000
69	0	0.000000
69	1	1.000000
70	0	0.494566
70	1	0.505434
71	0	1.000000
71	1	0.000000
72	0	0.494566
72	1	0.505434
73	0	0.518109
73	1	0.481891
74	0	1.000000
74	1	0.000000
75	0	0.518109
75	1	0.481891
76	0	1.000000
76	1	0.000000
77	0	1.000000
77	1	0.000000
78	0	0.494566
78	1	0.505434
79	0	0.494566
79	1	0.505434
80	0	0.518109
80	1	0.481891
81	0	0.000000
81	1	1.000000
82	0	0.000000
82	1	1.000000
83	0	0.518109
83	1	0.481891
84	0	0.518109
84	1	0.481891
85	0	1.000000
85	1	0.000000
86	0	0.000000
86	1	1.000000
87	0	0.000000
87	1	1.000000
88	0	0.518109
88	1	0.481891
89	0	0.518109
89	1	0.481891
90	0	0.000000
90	1	1.000000
91	0	0.000000
91	1	1.000000
92	0	0.000000
92	1	1.000000
93	0	0.000000
93	1	1.000000
94	0	0.000000
94	1	1.000000
95	0	0.000000
95	1	1.000000
96	0	0.000000
96	1	1.000000
97	0	0.000000
97	1	1.000000
98	0	0.000000
98	1	1.000000
99	0	0.000000
99	1	1.000000

