k	l	m	KLM
0	0	0	0.525000
0	0	1	0.475000
0	1	0	0.475000
0	1	1	0.525000
0	2	0	0.170000
0	2	1	0.830000
0	3	0	0.355000
0	3	1	0.645000
0	4	0	0.015000
0	4	1	0.985000
0	5	0	0.830000
0	5	1	0.170000
0	6	0	0.525000
0	6	1	0.475000
0	7	0	0.170000
0	7	1	0.830000
0	8	0	0.355000
0	8	1	0.645000
0	9	0	0.055000
0	9	1	0.945000
0	10	0	0.525000
0	10	1	0.475000
0	11	0	0.985000
0	11	1	0.015000
0	12	0	0.165000
0	12	1	0.835000
0	13	0	0.170000
0	13	1	0.830000
0	14	0	0.075000
0	14	1	0.925000
0	15	0	0.170000
0	15	1	0.830000
0	16	0	0.525000
0	16	1	0.475000
0	17	0	0.215000
0	17	1	0.785000
0	18	0	0.995000
0	18	1	0.005000
0	19	0	0.525000
0	19	1	0.475000
0	20	0	0.475000
0	20	1	0.525000
0	21	0	0.645000
0	21	1	0.355000
0	22	0	0.645000
0	22	1	0.355000
0	23	0	0.355000
0	23	1	0.645000
0	24	0	0.645000
0	24	1	0.355000
0	25	0	0.990000
0	25	1	0.010000
0	26	0	0.090000
0	26	1	0.910000
0	27	0	0.525000
0	27	1	0.475000
0	28	0	0.645000
0	28	1	0.355000
0	29	0	0.835000
0	29	1	0.165000
0	30	0	0.995000
0	30	1	0.005000
0	31	0	0.835000
0	31	1	0.165000
0	32	0	0.835000
0	32	1	0.165000
0	33	0	0.475000
0	33	1	0.525000
0	34	0	0.475000
0	34	1	0.525000
0	35	0	0.645000
0	35	1	0.355000
0	36	0	0.830000
0	36	1	0.170000
0	37	0	0.910000
0	37	1	0.090000
0	38	0	0.525000
0	38	1	0.475000
0	39	0	0.190000
0	39	1	0.810000
0	40	0	0.095000
0	40	1	0.905000
0	41	0	0.925000
0	41	1	0.075000
0	42	0	0.475000
0	42	1	0.525000
0	43	0	0.525000
0	43	1	0.475000
0	44	0	0.475000
0	44	1	0.525000
0	45	0	0.645000
0	45	1	0.355000
0	46	0	0.525000
0	46	1	0.475000
0	47	0	0.515000
0	47	1	0.475000
0	47	2	0.010000
0	48	0	0.170000
0	48	1	0.830000
0	49	0	0.905000
0	49	1	0.095000
0	50	0	0.170000
0	50	1	0.830000
0	51	0	0.525000
0	51	1	0.475000
0	52	0	0.525000
0	52	1	0.475000

