k	l	m	KLM
0	0	0	0.000000
0	0	1	1.000000
0	1	0	0.000000
0	1	1	1.000000
0	2	0	0.000000
0	2	1	1.000000
0	3	0	0.000000
0	3	1	1.000000
1	0	0	0.000000
1	0	1	1.000000
1	1	0	0.266377
1	1	1	0.733623
1	2	0	1.000000
1	2	1	0.000000
1	3	0	1.000000
1	3	1	0.000000
2	0	0	0.546924
2	0	1	0.453076
2	1	0	0.000000
2	1	1	1.000000
2	2	0	0.000000
2	2	1	1.000000
2	3	0	0.000000
2	3	1	1.000000
3	0	0	0.000000
3	0	1	1.000000
3	1	0	0.000000
3	1	1	1.000000
3	2	0	0.525087
3	2	1	0.474913
3	3	0	0.525087
3	3	1	0.474913
4	0	0	1.000000
4	0	1	0.000000
4	1	0	0.000000
4	1	1	1.000000
4	2	0	0.000000
4	2	1	1.000000
4	3	0	0.000000
4	3	1	1.000000
5	0	0	0.000000
5	0	1	1.000000
5	1	0	0.000000
5	1	1	1.000000
5	2	0	0.000000
5	2	1	1.000000
5	3	0	0.000000
5	3	1	1.000000

