i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.502728
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.000000
0	8	0.497272
1	0	0.000000
1	1	0.000000
1	2	0.502728
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	0.000000
1	8	0.497272
2	0	0.000000
2	1	0.000000
2	2	0.479440
2	3	0.520559
2	4	0.000000
2	5	0.000000
2	6	0.000000
2	7	0.000000
2	8	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.502728
3	3	0.000000
3	4	0.000000
3	5	0.000000
3	6	0.000000
3	7	0.000000
3	8	0.497272
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.499621
4	8	0.500379
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	1.000000
5	8	0.000000
6	0	0.000000
6	1	0.500572
6	2	0.000000
6	3	0.001134
6	4	0.000000
6	5	0.494293
6	6	0.000000
6	7	0.000000
6	8	0.004001
7	0	0.000000
7	1	0.000000
7	2	0.502728
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.000000
7	7	0.000000
7	8	0.497272
8	0	0.000000
8	1	0.000000
8	2	0.502728
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
8	8	0.497272
9	0	0.000000
9	1	0.000000
9	2	0.502728
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
9	8	0.497272
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	1.000000
10	6	0.000000
10	7	0.000000
10	8	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.514835
11	6	0.000000
11	7	0.000000
11	8	0.485165
12	0	0.000000
12	1	0.000000
12	2	0.502728
12	3	0.000000
12	4	0.000000
