k	l	m	KLM
0	0	0	0.990000
0	0	1	0.010000
0	1	0	0.005000
0	1	1	0.995000
0	2	0	0.005000
0	2	1	0.995000
0	3	0	0.045000
0	3	1	0.955000
0	4	0	0.020000
0	4	1	0.980000
0	5	0	0.280000
0	5	1	0.720000
0	6	0	0.005000
0	6	1	0.995000
0	7	0	0.005000
0	7	1	0.995000
0	8	0	0.020000
0	8	1	0.980000
0	9	0	0.005000
0	9	1	0.995000
0	10	0	0.005000
0	10	1	0.995000
0	11	0	0.985000
0	11	1	0.015000
0	12	0	0.035000
0	12	1	0.965000
0	13	0	0.045000
0	13	1	0.955000
0	14	0	0.005000
0	14	1	0.995000
0	15	0	0.990000
0	15	1	0.010000
0	16	0	0.995000
0	16	1	0.005000
0	17	0	0.005000
0	17	1	0.995000
0	18	0	0.995000
0	18	1	0.005000
0	19	0	0.525000
0	19	1	0.475000
0	20	0	0.005000
0	20	1	0.995000
0	21	0	0.045000
0	21	1	0.955000
0	22	0	0.995000
0	22	1	0.005000
0	23	0	0.995000
0	23	1	0.005000
0	24	0	0.005000
0	24	1	0.995000
0	25	0	0.995000
0	25	1	0.005000
0	26	0	0.995000
0	26	1	0.005000
0	27	0	0.020000
0	27	1	0.980000
0	28	0	0.995000
0	28	1	0.005000
0	29	0	0.720000
0	29	1	0.280000
0	30	0	0.005000
0	30	1	0.995000
0	31	0	0.005000
0	31	1	0.995000
0	32	0	0.010000
0	32	1	0.990000
0	33	0	0.995000
0	33	1	0.005000

