i	k	etaik
0	0	0.501167
0	1	0.000000
0	2	0.498833
0	3	0.000000
1	0	1.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
2	0	1.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	1.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
4	0	0.508391
4	1	0.000000
4	2	0.000000
4	3	0.491609
5	0	1.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	1.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	1.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	1.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	1.000000
10	0	0.829208
10	1	0.094217
10	2	0.000000
10	3	0.076574
11	0	0.428690
11	1	0.571310
11	2	0.000000
11	3	0.000000
12	0	1.000000
12	1	0.000000
12	2	0.000000
12	3	0.000000
13	0	0.428690
13	1	0.571310
13	2	0.000000
13	3	0.000000
14	0	0.286470
14	1	0.713480
14	2	0.000000
14	3	0.000050
15	0	0.000000
15	1	1.000000
15	2	0.000000
15	3	0.000000
16	0	0.000000
16	1	1.000000
16	2	0.000000
16	3	0.000000
17	0	0.428690
17	1	0.571310
17	2	0.000000
17	3	0.000000
18	0	0.500587
18	1	0.499413
18	2	0.000000
18	3	0.000000
19	0	1.000000
19	1	0.000000
19	2	0.000000
19	3	0.000000
20	0	0.000000
20	1	0.478177
20	2	0.521823
20	3	0.000000
21	0	0.515049
21	1	0.484951
21	2	0.000000
21	3	0.000000
22	0	0.515049
22	1	0.484951
22	2	0.000000
22	3	0.000000
23	0	0.000000
23	1	1.000000
23	2	0.000000
23	3	0.000000
24	0	0.000000
24	1	1.000000
24	2	0.000000
24	3	0.000000
25	0	1.000000
25	1	0.000000
25	2	0.000000
25	3	0.000000
26	0	0.508391
26	1	0.000000
26	2	0.000000
26	3	0.491609
27	0	0.515049
27	1	0.484951
27	2	0.000000
27	3	0.000000
28	0	1.000000
28	1	0.000000
28	2	0.000000
28	3	0.000000
29	0	0.515049
29	1	0.484951
29	2	0.000000
29	3	0.000000
30	0	0.000004
30	1	0.000000
30	2	0.517118
30	3	0.482878
31	0	1.000000
31	1	0.000000
31	2	0.000000
31	3	0.000000
32	0	0.000000
32	1	0.000000
32	2	0.500415
32	3	0.499585
33	0	0.000000
33	1	0.000000
33	2	0.000000
33	3	1.000000
34	0	0.483623
34	1	0.000000
