i	k	etaik
0	0	0.000009
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.000017
0	8	0.999974
1	0	0.000000
1	1	0.496036
1	2	0.000000
1	3	0.503964
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	0.000000
1	8	0.000000
2	0	0.000000
2	1	0.213734
2	2	0.000000
2	3	0.280395
2	4	0.000000
2	5	0.428763
2	6	0.077107
2	7	0.000000
2	8	0.000000
3	0	0.000000
3	1	0.223452
3	2	0.000000
3	3	0.280381
3	4	0.496164
3	5	0.000000
3	6	0.000000
3	7	0.000003
3	8	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.675868
4	6	0.091287
4	7	0.232845
4	8	0.000000
5	0	0.000009
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	0.000017
5	8	0.999974
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.862533
6	6	0.137467
6	7	0.000000
6	8	0.000000
7	0	0.000046
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.559538
7	5	0.000000
7	6	0.000000
7	7	0.010330
7	8	0.430087
8	0	0.000037
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.540896
8	6	0.082490
8	7	0.000128
8	8	0.376449
9	0	0.000000
9	1	0.496036
9	2	0.000000
9	3	0.503964
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
9	8	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	0.446125
10	6	0.000000
10	7	0.553875
10	8	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.452846
11	4	0.000000
11	5	0.000000
11	6	0.000000
11	7	0.547154
11	8	0.000000
12	0	0.000000
12	1	1.000000
12	2	0.000000
12	3	0.000000
12	4	0.000000
12	5	0.000000
12	6	0.000000
12	7	0.000000
12	8	0.000000
13	0	0.000000
13	1	0.000068
13	2	0.000000
13	3	0.469457
13	4	0.000000
13	5	0.530475
13	6	0.000000
13	7	0.000000
13	8	0.000000
14	0	0.000000
14	1	0.440233
14	2	0.000000
14	3	0.000000
14	4	0.000000
14	5	0.000000
14	6	0.000000
14	7	0.559767
14	8	0.000000
15	0	0.000000
15	1	0.000000
15	2	0.000000
15	3	0.000000
15	4	0.000000
15	5	1.000000
15	6	0.000000
15	7	0.000000
15	8	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
16	5	0.769667
16	6	0.000000
16	7	0.230333
16	8	0.000000
17	0	0.000000
17	1	0.000000
17	2	0.000000
17	3	0.000000
17	4	0.000000
17	5	1.000000
17	6	0.000000
17	7	0.000000
17	8	0.000000
18	0	0.000000
18	1	1.000000
18	2	0.000000
18	3	0.000000
18	4	0.000000
18	5	0.000000
18	6	0.000000
18	7	0.000000
18	8	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.000000
19	3	0.000000
19	4	0.000000
19	5	0.234560
19	6	0.000000
19	7	0.765440
19	8	0.000000
20	0	0.000000
20	1	0.000000
20	2	0.000000
20	3	0.000000
20	4	0.000000
20	5	0.764537
20	6	0.000000
20	7	0.235463
20	8	0.000000
21	0	0.000000
21	1	0.000000
21	2	0.000000
21	3	0.000000
21	4	0.000000
21	5	1.000000
21	6	0.000000
21	7	0.000000
21	8	0.000000
22	0	1.000000
22	1	0.000000
22	2	0.000000
22	3	0.000000
22	4	0.000000
22	5	0.000000
22	6	0.000000
22	7	0.000000
22	8	0.000000
23	0	0.000000
