i	k	etaik
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.500000
0	5	0.000000
0	6	0.000000
0	7	0.000000
0	8	0.500000
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	1.000000
1	7	0.000000
1	8	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
2	4	0.000000
2	5	0.000000
2	6	1.000000
2	7	0.000000
2	8	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	0.000000
3	4	0.000000
3	5	0.000000
3	6	0.805886
3	7	0.194114
3	8	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.661388
4	7	0.338612
4	8	0.000000
5	0	0.000000
5	1	0.000000
5	2	1.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	0.000000
5	8	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.499729
6	7	0.000000
6	8	0.500271
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.499729
7	7	0.000000
7	8	0.500271
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.499729
8	7	0.000000
8	8	0.500271
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.468658
9	5	0.000000
9	6	0.310032
9	7	0.221309
9	8	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	0.481544
10	6	0.000000
10	7	0.518456
10	8	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.500949
11	4	0.000000
11	5	0.000000
11	6	0.499051
11	7	0.000000
11	8	0.000000
12	0	0.000000
12	1	0.000000
12	2	0.000000
12	3	0.500000
12	4	0.000000
