k	l	m	KLM
0	0	0	0.470000
0	0	1	0.530000
0	1	0	0.096667
0	1	1	0.903333
0	2	0	0.996667
0	2	1	0.003333
0	3	0	0.706667
0	3	1	0.293333
0	4	0	0.483333
0	4	1	0.516667
0	5	0	0.013333
0	5	1	0.986667
0	6	0	0.966667
0	6	1	0.033333
0	7	0	0.966667
0	7	1	0.033333
0	8	0	0.003333
0	8	1	0.996667
0	9	0	0.996667
0	9	1	0.003333
0	10	0	0.430000
0	10	1	0.570000
0	11	0	0.030000
0	11	1	0.970000
0	12	0	0.263333
0	12	1	0.736667
0	13	0	0.976667
0	13	1	0.023333
0	14	0	0.996667
0	14	1	0.003333
0	15	0	0.166667
0	15	1	0.833333
0	16	0	0.993333
0	16	1	0.006667
0	17	0	0.993333
0	17	1	0.006667
0	18	0	0.096667
0	18	1	0.903333
0	19	0	0.096667
0	19	1	0.903333
0	20	0	0.003333
0	20	1	0.996667
0	21	0	0.976667
0	21	1	0.023333
0	22	0	0.030000
0	22	1	0.970000
0	23	0	0.006667
0	23	1	0.993333
0	24	0	0.970000
0	24	1	0.030000
0	25	0	0.033333
0	25	1	0.966667
0	26	0	0.166667
0	26	1	0.833333
0	27	0	0.903333
0	27	1	0.096667
0	28	0	0.006667
0	28	1	0.993333
0	29	0	0.003333
0	29	1	0.996667
0	30	0	0.090000
0	30	1	0.910000
0	31	0	0.030000
0	31	1	0.970000
0	32	0	0.430000
0	32	1	0.570000
0	33	0	0.966667
0	33	1	0.033333

