k	l	m	KLM
0	0	0	0.003333
0	0	1	0.996667
0	1	0	0.263333
0	1	1	0.736667
0	2	0	0.963333
0	2	1	0.036667
0	3	0	0.660000
0	3	1	0.076667
0	3	2	0.263333
0	4	0	0.006667
0	4	1	0.993333
0	5	0	0.016667
0	5	1	0.983333
0	6	0	0.263333
0	6	1	0.736667
0	7	0	0.263333
0	7	1	0.736667
0	8	0	0.106667
0	8	1	0.893333
0	9	0	0.263333
0	9	1	0.736667
0	10	0	0.990000
0	10	1	0.010000
0	11	0	0.036667
0	11	1	0.963333
0	12	0	0.023333
0	12	1	0.976667
0	13	0	0.153333
0	13	1	0.846667
0	14	0	0.933333
0	14	1	0.066667
0	15	0	0.003333
0	15	1	0.996667
0	16	0	0.736667
0	16	1	0.263333
0	17	0	0.040000
0	17	1	0.960000
0	18	0	0.986667
0	18	1	0.013333
0	19	0	0.736667
0	19	1	0.263333
0	20	0	0.030000
0	20	1	0.970000
0	21	0	0.846667
0	21	1	0.153333
0	22	0	0.010000
0	22	1	0.990000
0	23	0	0.003333
0	23	1	0.996667
0	24	0	0.933333
0	24	1	0.066667
0	25	0	0.993333
0	25	1	0.006667
0	26	0	0.003333
0	26	1	0.996667
0	27	0	0.016667
0	27	1	0.983333
0	28	0	0.263333
0	28	1	0.730000
0	28	2	0.006667
0	29	0	0.066667
0	29	1	0.920000
0	29	2	0.013333
0	30	0	0.846667
0	30	1	0.153333
0	31	0	0.893333
0	31	1	0.106667
0	32	0	0.013333
0	32	1	0.986667
0	33	0	0.983333
0	33	1	0.016667
0	34	0	0.003333
0	34	1	0.996667
0	35	0	0.016667
0	35	1	0.836667
0	35	2	0.146667
0	36	0	0.263333
0	36	1	0.736667

